bet_type,data_status,payout_per_100_yen,payout_popularity,race_date,race_id,source_url,winning_selection
3連複,PASS_HTML,15870,60,2026-08-01,pw01sde1001202601030720260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030720260801%2F8D,3-5-11
3連単,PASS_HTML,63060,251,2026-08-01,pw01sde1001202601030720260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030720260801%2F8D,3-11-5
単勝,PASS_HTML,300,1,2026-08-01,pw01sde1001202601031020260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601031020260801%2FEC,1
複勝,PASS_HTML,140,2,2026-08-01,pw01sde1001202601031020260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601031020260801%2FEC,1
複勝,PASS_HTML,130,1,2026-08-01,pw01sde1001202601031020260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601031020260801%2FEC,8
複勝,PASS_HTML,150,3,2026-08-01,pw01sde1001202601031020260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601031020260801%2FEC,5
枠連,PASS_HTML,640,1,2026-08-01,pw01sde1001202601031020260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601031020260801%2FEC,1-5
ワイド,PASS_HTML,310,1,2026-08-01,pw01sde1001202601031020260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601031020260801%2FEC,1-8
ワイド,PASS_HTML,320,2,2026-08-01,pw01sde1001202601031020260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601031020260801%2FEC,1-5
ワイド,PASS_HTML,400,4,2026-08-01,pw01sde1001202601031020260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601031020260801%2FEC,5-8
馬連,PASS_HTML,800,3,2026-08-01,pw01sde1001202601031020260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601031020260801%2FEC,1-8
馬単,PASS_HTML,1450,4,2026-08-01,pw01sde1001202601031020260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601031020260801%2FEC,1-8
3連複,PASS_HTML,1020,1,2026-08-01,pw01sde1001202601031020260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601031020260801%2FEC,1-5-8
3連単,PASS_HTML,5310,5,2026-08-01,pw01sde1001202601031020260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601031020260801%2FEC,1-8-5
単勝,PASS_HTML,860,5,2026-08-01,pw01sde1001202601031120260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601031120260801%2FA1,10
複勝,PASS_HTML,240,4,2026-08-01,pw01sde1001202601031120260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601031120260801%2FA1,10
複勝,PASS_HTML,180,2,2026-08-01,pw01sde1001202601031120260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601031120260801%2FA1,12
複勝,PASS_HTML,190,3,2026-08-01,pw01sde1001202601031120260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601031120260801%2FA1,11
枠連,PASS_HTML,740,2,2026-08-01,pw01sde1001202601031120260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601031120260801%2FA1,5-6
ワイド,PASS_HTML,650,4,2026-08-01,pw01sde1001202601031120260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601031120260801%2FA1,10-12
ワイド,PASS_HTML,810,7,2026-08-01,pw01sde1001202601031120260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601031120260801%2FA1,10-11
ワイド,PASS_HTML,790,6,2026-08-01,pw01sde1001202601031120260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601031120260801%2FA1,11-12
