bet_type,data_status,payout_per_100_yen,payout_popularity,race_date,race_id,source_url,winning_selection
ワイド,PASS_HTML,5680,43,2026-08-29,pw01sde1001202602031020260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602031020260829%2FB9,3-5
ワイド,PASS_HTML,3240,35,2026-08-29,pw01sde1001202602031020260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602031020260829%2FB9,5-12
馬連,PASS_HTML,680,1,2026-08-29,pw01sde1001202602031020260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602031020260829%2FB9,3-12
馬単,PASS_HTML,1540,4,2026-08-29,pw01sde1001202602031020260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602031020260829%2FB9,3-12
3連複,PASS_HTML,15330,47,2026-08-29,pw01sde1001202602031020260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602031020260829%2FB9,3-5-12
3連単,PASS_HTML,63750,196,2026-08-29,pw01sde1001202602031020260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602031020260829%2FB9,3-12-5
単勝,PASS_HTML,1170,5,2026-08-29,pw01sde1001202602031120260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602031120260829%2F6E,8
複勝,PASS_HTML,330,4,2026-08-29,pw01sde1001202602031120260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602031120260829%2F6E,8
複勝,PASS_HTML,210,2,2026-08-29,pw01sde1001202602031120260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602031120260829%2F6E,12
複勝,PASS_HTML,480,8,2026-08-29,pw01sde1001202602031120260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602031120260829%2F6E,5
枠連,PASS_HTML,970,4,2026-08-29,pw01sde1001202602031120260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602031120260829%2F6E,5-7
ワイド,PASS_HTML,1130,10,2026-08-29,pw01sde1001202602031120260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602031120260829%2F6E,8-12
ワイド,PASS_HTML,3250,40,2026-08-29,pw01sde1001202602031120260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602031120260829%2F6E,5-8
ワイド,PASS_HTML,1830,19,2026-08-29,pw01sde1001202602031120260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602031120260829%2F6E,5-12
馬連,PASS_HTML,3270,11,2026-08-29,pw01sde1001202602031120260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602031120260829%2F6E,8-12
馬単,PASS_HTML,7670,29,2026-08-29,pw01sde1001202602031120260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602031120260829%2F6E,8-12
3連複,PASS_HTML,25940,87,2026-08-29,pw01sde1001202602031120260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602031120260829%2F6E,5-8-12
3連単,PASS_HTML,182080,542,2026-08-29,pw01sde1001202602031120260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602031120260829%2F6E,8-12-5
単勝,QUARANTINED_HTML:track_condition,120,1,2026-08-29,pw01sde1001202602031220260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602031220260829%2F23,10
複勝,QUARANTINED_HTML:track_condition,110,1,2026-08-29,pw01sde1001202602031220260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602031220260829%2F23,10
複勝,QUARANTINED_HTML:track_condition,110,2,2026-08-29,pw01sde1001202602031220260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602031220260829%2F23,11
複勝,QUARANTINED_HTML:track_condition,480,7,2026-08-29,pw01sde1001202602031220260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602031220260829%2F23,7
枠連,QUARANTINED_HTML:track_condition,200,1,2026-08-29,pw01sde1001202602031220260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602031220260829%2F23,7-8
ワイド,QUARANTINED_HTML:track_condition,140,1,2026-08-29,pw01sde1001202602031220260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602031220260829%2F23,10-11
